"Mod","Group"
"300_Brocade_Outfits.esp","Clothing"
"Armor of Gaia.esp","Clothing"
"Armor_skirts.esp","Clothing"
"Catsuit.esp","Clothing"
"Cloth Gloves.esp","Clothing"
"Elegant Vests.esp","Clothing"
"ExnemEC_Rogue01.esp","Clothing"
"JB Catsuit Variants.esp","Clothing"
"JB Catsuit Weapons.esp","Clothing"
"RavenWearClothing.esp","Clothing"
"sluggosilkdancer.esp","Clothing"
"Tegeals Extra Robes.esp","Clothing"
"Widow Dress.esp","Clothing"
"Beautiful People.esp","Cosmetic"
"bgBalancingEVCore.esp","Cosmetic"
"Capucines_Beautiful People.esp","Cosmetic"
"GenericFaces_v1.1.esp","Cosmetic"
"Leons_Haircut.esp","Cosmetic"
"Merged Faces.esm","Cosmetic"
"Prettier Saints, 02.esp","Cosmetic"
"Prettier Seducers, 02.esp","Cosmetic"
"Ren_BeautyPack_Hairs.esp","Cosmetic"
"tkHairPack01.esp","Cosmetic"
"TNR - SI, No Helms.esp","Cosmetic"
"TNR - SI.esp","Cosmetic"
"TNR All Races.esp","Cosmetic"
"AlchemistsCave.esp","Home"
"DLCBattlehornCastle.esp","Home"
"DLCThievesDen.esp","Home"
"DLCVileLair.esp","Home"
"Salan's Cellar.esp","Home"
"Schorched's shack.esp","Home"
"CM Partners.esm","Library"
"CM Partners.esp","Library"
"Cobl Glue MW Ingred.esp","Library"
"Cobl Glue.esp","Library"
"Cobl Main.esm","Library"
"Cobl Main.esp","Library"
"Cobl Si.esp","Library"
"Cobl Tweaks.esp","Library"
"Tamrielic Ingredients.esm","Library"
"AW_Partners_MarkReturnTweak.esp","Library+1"
"actors_in_charge.esp","Misc."
"AmbientTownSounds.esp","Misc."
"Bag of Holding.esp","Misc."
"ClocksOfCyrodiil.esp","Misc."
"DLCHorseArmor UOP.esp","Misc."
"DLCHorseArmor.esp","Misc."
"DLCOrrery.esp","Misc."
"DLCSpellTomes.esp","Misc."
"Dude Wheres My Horse.esp","Misc."
"ExnemRuneskulls.esp","Misc."
"HTS, Cobl.esp","Misc."
"HTS, Messages.esp","Misc."
"Landmarks, w Wells.esp","Misc."
"Misc Tracker.esp","Misc."
"P1DseeYouSleep.esp","Misc."
"PC Sleep Disrober.esp","Misc."
"Personality Idles, 2.esp","Misc."
"Real Hunger, Cobl.esp","Misc."
"Reznod_Mannequin.esp","Misc."
"Salan's Stations.esp","Misc."
"Summon Bed.esp","Misc."
"SummonChest_v1.0.esp","Misc."
"TESFU Book Collection.esp","Misc."
"Update My Statue.esp","Misc."
"Wrye Morph, X6.esp","Misc."
"Wrye Shivering Death.esp","Misc."
"Wrye Shivering.esp","Misc."
"Merina.esp","NPC"
"Ruin.esp","NPC"
"KCAS.esp","Overhaul"
"LoreCreatures.esp","Overhaul"
"Mart's Monster Mod.esm","Overhaul"
"Mart's Monster Mod.esp","Overhaul"
"Oscuro's_Oblivion_Overhaul.esm","Overhaul"
"Oscuro's_Oblivion_Overhaul.esp","Overhaul"
"bartholm.esp","Place"
"Crowded Cities 15.esp","Place"
"Crowded Roads.esp","Place"
"Salmo the Baker, Cobl Sacks.esp","Place"
"Salmo the Baker, Cobl.esp","Place"
"UL Dark Forest.esp","Place"
"WoodlandVillage, Cobl.esp","Place"
"Altessian.esp","Quest"
"Artefacts of the Ancestors.esp","Quest"
"DLCMehrunesRazor.esp","Quest"
"Knights.esp","Quest"
"The Lost Spires.esp","Quest"
"Black Screen Fix SI.esp","Root"
"DLCShiveringIsles.esp","Root"
"HrmnsOblivionScriptOptimizationv1.0.esp","Root"
"Oblivion.esm","Root"
"Unofficial Oblivion Patch.esp","Root"
"Unofficial Shivering Isles Patch.esp","Root"
"AlternatePeryitesRealm.esp","Tweak"
"Atmospheric Oblivion.esp","Tweak"
"AWS-Core.esm","Tweak"
"AWS-ShiveringIsles.esp","Tweak"
"AWS-Tweaks BN.esp","Tweak"
"Combat Fumbling.esp","Tweak"
"IlluminationWithout.esp","Tweak"
"Less Creepy Guild Porters.esp","Tweak"
"More Broadsheets.esp","Tweak"
"MoreArenaSpectators, Lite.esp","Tweak"
"Natural_Habitat.esp","Tweak"
"Natural_Weather.esp","Tweak"
"Pestilent Afflictions.esp","Tweak"
"Advanced Water.esp","Tweak-1"
"Book Jackets SI.esp","Tweak-1"
"Book Jackets.esp","Tweak-1"
"DarNified Books.esp","Tweak-1"
"Life Detect, Geno_v1.0.esp","Tweak-1"
"Life Detect, New.esp","Tweak-1"
"Life Detect, ShaderPurple.esp","Tweak-1"
"LoadingScreens.esp","Tweak-1"
"LoadingScreensSI.esp","Tweak-1"
"Rational Names, 2.esp","Tweak-1"
"Wrye Morph Keys.esp","Tweak-1"
